o,"[0, 0, 1, 0, 0, 0, 1, 1, 1, 1]"
b,"[1, 0, 0, 0, 1, 0, 0, 1, 1, 0]"
l,"[1, 1, 0, 0, 0, 0, 1, 1, 0, 1]"
sch,"[0, 0, 1, 1, 0, 1, 0, 1, 0, 0]"
ä,"[0, 0, 1, 1, 1, 1, 1, 0, 0, 0]"
ö,"[0, 1, 0, 0, 1, 0, 1, 0, 1, 1]"
m,"[0, 1, 0, 1, 0, 0, 1, 1, 1, 0]"
t,"[0, 1, 0, 1, 1, 0, 0, 0, 1, 1]"
v,"[1, 0, 0, 1, 0, 1, 0, 0, 1, 0]"
ü,"[0, 0, 0, 1, 1, 1, 1, 0, 1, 1]"
ng,"[0, 1, 0, 1, 0, 0, 0, 0, 1, 0]"
é,"[0, 0, 1, 1, 1, 1, 1, 0, 0, 0]"
ù,"[1, 0, 1, 1, 1, 0, 0, 1, 0, 1]"
f,"[1, 0, 1, 0, 1, 1, 1, 1, 0, 1]"
p,"[1, 0, 0, 0, 1, 0, 0, 1, 1, 0]"
x,"[1, 0, 0, 1, 0, 0, 1, 1, 1, 1]"
ei,"[1, 1, 0, 1, 1, 1, 1, 0, 1, 1]"
g,"[0, 1, 0, 1, 1, 1, 1, 1, 1, 0]"
pf,"[0, 0, 0, 1, 1, 1, 0, 0, 1, 0]"
y,"[0, 0, 0, 0, 0, 0, 1, 0, 1, 0]"
h,"[1, 1, 1, 0, 0, 0, 1, 1, 0, 0]"
q,"[1, 1, 0, 0, 1, 0, 0, 1, 0, 0]"
z,"[1, 0, 0, 0, 1, 1, 0, 1, 0, 1]"
ie,"[1, 1, 1, 1, 0, 1, 1, 0, 1, 1]"
j,"[0, 0, 0, 0, 0, 0, 1, 0, 1, 0]"
k,"[1, 1, 0, 0, 1, 0, 0, 1, 0, 0]"
s,"[1, 1, 1, 1, 1, 0, 0, 0, 1, 1]"
