P,"[1, 0, 0, 0, 1, 0, 0, 1, 1, 0]"
B,"[1, 1, 0, 0, 1, 0, 1, 0, 0, 0]"
K,"[1, 1, 0, 0, 1, 0, 0, 1, 0, 0]"
Pw,"[0, 0, 0, 1, 1, 1, 0, 0, 1, 0]"
Bw,"[0, 1, 1, 0, 0, 1, 1, 1, 1, 1]"
L,"[1, 1, 0, 0, 0, 0, 1, 1, 0, 1]"
R,"[1, 1, 0, 1, 0, 0, 0, 1, 0, 0]"
M,"[0, 1, 0, 1, 0, 0, 1, 1, 1, 0]"
T,"[0, 1, 0, 1, 1, 0, 0, 0, 1, 1]"
D,"[0, 1, 1, 0, 1, 0, 0, 0, 1, 1]"
N,"[0, 0, 1, 1, 1, 0, 0, 0, 1, 0]"
W,"[0, 1, 1, 0, 1, 0, 1, 1, 1, 0]"
G,"[1, 1, 1, 0, 0, 1, 1, 1, 0, 1]"
Ŋ,"[0, 1, 0, 1, 0, 0, 0, 0, 1, 0]"
Y,"[0, 0, 0, 0, 0, 0, 1, 0, 1, 0]"
