خ,"[1, 0, 0, 0, 0, 1, 1, 1, 0, 1]"
ض,"[0, 0, 0, 1, 0, 0, 1, 1, 0, 0]"
ڨ,"[1, 1, 1, 0, 0, 1, 1, 1, 0, 1]"
ـُو,"[0, 0, 1, 1, 1, 1, 1, 0, 0, 0]"
ح,"[1, 1, 0, 1, 0, 1, 0, 1, 1, 0]"
ﻕ,"[1, 0, 0, 1, 0, 1, 1, 0, 0, 0]"
ــُـ,"[1, 0, 1, 1, 1, 0, 0, 1, 0, 1]"
ج,"[0, 0, 1, 0, 0, 1, 1, 0, 0, 1]"
ش,"[0, 0, 1, 1, 0, 1, 0, 1, 0, 0]"
ڥ,"[1, 0, 0, 1, 0, 1, 0, 0, 1, 0]"
ـُو,"[0, 1, 1, 0, 0, 0, 1, 0, 0, 1]"
پ,"[1, 0, 0, 0, 1, 0, 0, 1, 1, 0]"
ــُ,"[0, 0, 1, 0, 0, 0, 1, 1, 1, 1]"
ث,"[0, 0, 0, 1, 0, 1, 1, 1, 0, 0]"
ـِي,"[1, 1, 1, 1, 0, 1, 1, 0, 1, 1]"
ت,"[0, 1, 0, 1, 1, 0, 0, 0, 1, 1]"
ر,"[1, 1, 0, 1, 0, 0, 0, 1, 0, 0]"
ــِـ,"[0, 0, 0, 1, 0, 0, 1, 0, 1, 0]"
ذ,"[1, 0, 1, 1, 0, 0, 1, 0, 0, 0]"
ظ,"[0, 0, 0, 1, 0, 0, 1, 1, 0, 0]"
آ\ـَا,"[1, 1, 1, 0, 1, 1, 0, 0, 0, 0]"
ا,"[0, 0, 0, 0, 1, 1, 1, 0, 1, 1]"
د,"[0, 1, 1, 0, 1, 0, 0, 0, 1, 1]"
ﻙ,"[1, 1, 0, 0, 1, 0, 0, 1, 0, 0]"
